name,serving_size,calories,protein,carbohydrate,total_fat
"PREGO Pasta, ready-to-serve, Italian Sausage and Garlic Italian Sauce",100 g,72,2.40 g,10.40 g,2.4g
"Cereals, salt, prepared with water, QUAKER MultiGrain Oatmeal, QUAKER",100 g,61,2.07 g,13.47 g,0.5g
"AUSTIN, reduced fat, sandwich-type, Cheddar Cheese on Cheese Crackers",100 g,461,7.80 g,68.00 g,18g
"Beverages, prepared with water, frozen concentrate, Fruit punch drink",100 g,46,0.06 g,11.66 g,0g
"Sauce, refrigerated, ready-to-serve, pesto with basil, BUITONI, pesto",100 g,418,9.83 g,10.09 g,38g
"Cereals ready-to-eat, KRETSCHMER Honey Crunch Wheat Germ, SUN COUNTRY",100 g,372,26.55 g,58.11 g,7.8g
"PILLSBURY, refrigerated dough, Artificial Flavor, Buttermilk Biscuits",100 g,236,6.40 g,47.07 g,2.8g
"Cereals ready-to-eat, Cap'n Crunch's OOPS! All Berries Cereal, QUAKER",100 g,395,4.60 g,87.10 g,4g
"Pork, roasted, heated, separable lean only, bone-in, rump, ham, cured",100 g,132,26.02 g,0.68 g,3.1g
"Hyacinth-beans, without salt, drained, boiled, cooked, immature seeds",100 g,50,2.95 g,9.20 g,0.3g
"Babyfood, strained, without ascorbic acid, prunes with tapioca, fruit",100 g,69,0.60 g,18.50 g,0.1g
"Cowpeas, without salt, drained, boiled, cooked, young pods with seeds",100 g,34,2.60 g,7.00 g,0.3g
"CAMPBELL'S CHUNKY Soups, Grilled Chicken with Vegetables & Pasta Soup",100 g,41,2.45 g,5.71 g,1g
"Beverages, decaffeinated, prepared with tap water, brewed, black, tea",100 g,1,0.00 g,0.30 g,0g
"SUPPER BAKES MEAL KITS, Herb Chicken with rice (chicken not included)",100 g,197,4.26 g,42.55 g,1.1g
"Potatoes, pan-fried in canola oil, prepared, refrigerated, hash brown",100 g,242,3.24 g,33.99 g,10g
"Chicken, stewed, cooked, meat and skin, dark meat, broilers or fryers",100 g,233,23.50 g,0.00 g,15g
"Apricots, solids and liquids, without skin, heavy syrup pack, canned",100 g,83,0.51 g,21.45 g,0.1g
"Veal, braised, cooked, separable lean and fat, shank (fore and hind)",100 g,191,31.54 g,0.00 g,6.2g
"Balsam-pear (bitter gourd), with salt, drained, boiled, cooked, pods",100 g,19,0.84 g,4.32 g,0.2g
"Snacks, Harvest Cheddar flavor, Multigrain Snack, SUNCHIPS, FRITOLAY",100 g,491,8.08 g,64.70 g,22g
"Lamb, raw, separable lean and fat, fore-shank, imported, New Zealand",100 g,183,20.09 g,0.09 g,11g
"Beef, pan-browned, cooked, crumbles, 90% lean meat / 10% fat, ground",100 g,230,28.45 g,0.00 g,12g
"Wheat flour, enriched, unbleached, 11.5% protein, white (industrial)",100 g,363,11.50 g,73.81 g,1.5g
"CAMPBELL'S HEALTHY REQUEST, condensed, Homestyle Chicken Noodle Soup",100 g,51,2.70 g,7.80 g,1g
"Infant formula, powder, with iron, GOOD START ESSENTIALS SOY, NESTLE",100 g,502,12.50 g,55.70 g,26g
"Lima beans, solids and liquids, regular pack, canned, immature seeds",100 g,71,4.07 g,13.33 g,0.3g
"Cereals ready-to-eat, OAT BLENDERS with honey & almonds, MALT-O-MEAL",100 g,379,7.80 g,77.26 g,4.9g
"Lamb, raw, separable lean and fat, tenderloin, imported, New Zealand",100 g,120,20.43 g,0.01 g,4.2g
"Grapes, raw, red or green (European type, such as Thompson seedless)",100 g,69,0.72 g,18.10 g,0.2g
"Babyfood, toddler fortified, instant, dry, oatmeal cereal with fruit",100 g,402,10.50 g,74.10 g,7.1g
"Chicken, roasted, cooked, meat and skin and giblets and neck, capons",100 g,226,28.35 g,0.04 g,12g
"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",100 g,353,3.40 g,13.40 g,32g
"Cereals ready-to-eat, Reduced Sugar Frosted Flakes Cereal, KELLOGG'S",100 g,357,5.59 g,87.30 g,0.4g
"Cereals ready-to-eat, KELLOGG'S RICE KRISPIES TREATS Cereal, KELLOGG",100 g,395,4.30 g,85.59 g,4.2g
"Pork, roasted, canned, extra lean (approximately 4% fat), ham, cured",100 g,136,21.16 g,0.52 g,4.9g
"Pork, roasted, regular (approximately 11% fat), boneless, ham, cured",100 g,178,22.62 g,0.00 g,9g
"Beef, pan-browned, cooked, crumbles, 70% lean meat / 30% fat, ground",100 g,270,25.56 g,0.00 g,18g
"MORNINGSTAR FARMS Roasted Garlic & Quinoa Burger, unprepared, frozen",100 g,192,10.70 g,17.80 g,12g
"KELLOGG'S, Mixed Berry Granola, NUTRI-GRAIN Frozen Fruit Pizza, EGGO",100 g,259,6.40 g,41.40 g,8.4g
"Beef, pan-browned, cooked, crumbles, 75% lean meat / 25% fat, ground",100 g,277,26.28 g,0.00 g,18g
"CAMPBELL'S CHUNKY Soups, Baked Potato with Cheddar & Bacon Bits Soup",100 g,78,2.04 g,9.39 g,3.7g
"Lamb, raw, separable lean and fat, neck chops, imported, New Zealand",100 g,231,17.43 g,0.14 g,18g
"Cereals ready-to-eat, RAISIN BRAN CLUSTERS, FIBER ONE, GENERAL MILLS",100 g,317,6.30 g,83.40 g,2.3g
"Snacks, and E, C, with vitamins A, FARLEY Fruit Snacks, FARLEY CANDY",100 g,341,4.40 g,80.90 g,0g
"POPEYES, meat and skin with breading, Drumstick, Mild, Fried Chicken",100 g,293,20.44 g,9.84 g,19g
"Gourd, with salt, drained, boiled, cooked, white-flowered (calabash)",100 g,13,0.60 g,3.10 g,0g
"BANQUET, unprepared, frozen, family size, Salisbury Steak With Gravy",100 g,155,6.89 g,6.96 g,11g
"Lamb, raw, separable lean and fat, hind-shank, imported, New Zealand",100 g,186,18.39 g,0.73 g,12g
"Margarine-like, without salt, stick, 80% fat, butter-margarine blend",100 g,718,0.90 g,0.60 g,81g
"Beans, without salt, boiled, cooked, mature seeds, royal red, kidney",100 g,123,9.49 g,21.85 g,0.2g
"Peppers, solids and liquids, excluding seeds, canned, red, hot chili",100 g,21,0.90 g,5.10 g,0.1g
"Candies, prepared-by-recipe, with nuts, chocolate marshmallow, fudge",100 g,474,3.24 g,67.69 g,21g
"Orange juice, with added calcium, includes from concentrate, chilled",100 g,47,0.68 g,11.27 g,0.1g
"Chicken, raw, meat and skin and giblets and neck, broilers or fryers",100 g,213,18.33 g,0.13 g,15g
"Turkey, raw, with added solution, meat only, from whole bird, breast",100 g,102,21.54 g,0.14 g,1.7g
"Cereals ready-to-eat, KELLOGG RAISIN BRAN with Omega-3 from flaxseed",100 g,349,7.30 g,82.69 g,2.5g
"Soup, single brand, ready-to-serve, chunky, chicken mushroom chowder",100 g,80,3.00 g,7.10 g,4.4g
"Alcoholic beverage, Gewurztraminer, late harvest, white, table, wine",100 g,108,0.07 g,11.39 g,0g
"Biscuits, baked, higher fat, refrigerated dough, plain or buttermilk",100 g,324,6.79 g,49.05 g,11g
"KFC, meat and skin with breading, Thigh, EXTRA CRISPY, Fried Chicken",100 g,309,17.17 g,10.30 g,22g
"Restaurant, Arroz con frijoles negros (rice and black beans), Latino",100 g,151,4.64 g,24.40 g,3.9g
"Beef, pan-browned, cooked, crumbles, 85% lean meat / 15% fat, ground",100 g,256,27.73 g,0.00 g,15g
"Beef, pan-browned, cooked, crumbles, 80% lean meat / 20% fat, ground",100 g,272,27.00 g,0.00 g,17g
"Pork, cooked, with added solution, composite of separable fat, fresh",100 g,585,10.06 g,0.32 g,60g
"Wheat flour, unenriched, bleached, 11.5% protein, white (industrial)",100 g,363,11.50 g,73.81 g,1.5g
"Luncheon meat, includes SPAM (Hormel), canned, minced, pork with ham",100 g,315,13.40 g,4.60 g,27g
"Beverages, Light Cranberry and Raspberry Flavored Juice, OCEAN SPRAY",100 g,26,0.73 g,5.77 g,0g
"PREGO Pasta, ready-to-serve, Chunky Garden Combination Italian Sauce",100 g,54,1.54 g,10.00 g,1.2g
"AUSTIN, reduced fat, sandwich-type, Peanut Butter on Cheese Crackers",100 g,461,9.70 g,66.30 g,18g
"AUSTIN, reduced fat, sandwich-type, Peanut Butter on Toasty Crackers",100 g,463,9.50 g,67.20 g,18g
"Chicken, heated (microwave), barbecue flavored, glazed, frozen, wing",100 g,248,25.34 g,3.84 g,14g
"Infant formula, ready-to-feed, with iron, GOOD START SUPREME, NESTLE",100 g,66,1.45 g,7.39 g,3.4g
"Artichokes, without salt, drained, boiled, cooked, (globe or french)",100 g,53,2.89 g,11.95 g,0.3g
"Milk, with added vitamin A and vitamin D, nonfat, evaporated, canned",100 g,78,7.55 g,11.35 g,0.2g
"Squash, without salt, drained, boiled, cooked, all varieties, summer",100 g,20,0.91 g,4.31 g,0.3g
"Toaster Pastries, Brown sugar cinnamon, KELLOGG'S POP TARTS, KELLOGG",100 g,438,5.40 g,64.40 g,18g
"Beef, raw, separable lean and fat, tenderloin, imported, New Zealand",100 g,146,21.04 g,0.00 g,6.9g
"Infant Formula, powder, Infant, Premium LIPIL, ENFAMIL, MEAD JOHNSON",100 g,510,10.80 g,57.00 g,27g
"MORNINGSTAR FARMS Meal Starters Veggie Meatballs, unprepared, frozen",100 g,158,17.70 g,9.90 g,5.8g
"MORNINGSTAR FARMS Grillers Chik'n Veggie Patties, unprepared, frozen",100 g,118,12.80 g,10.20 g,4.8g
"Cereals ready-to-eat, Natural Granola Apple Cranberry Almond, QUAKER",100 g,418,9.21 g,74.73 g,11g
"Gourd, without salt, drained, boiled, cooked, dishcloth (towelgourd)",100 g,56,0.66 g,14.34 g,0.3g
"Puddings, sodium, potassium, with added oil, regular, dry mix, lemon",100 g,366,0.10 g,90.30 g,1.5g
"Babyfood, strained, without ascorbic acid, plums with tapioca, fruit",100 g,71,0.10 g,19.70 g,0g
"Spinach, with salt, drained, boiled, cooked, chopped or leaf, frozen",100 g,34,4.01 g,4.80 g,0.9g
"Pork, braised, cooked, kidneys, variety meats and by-products, fresh",100 g,151,25.40 g,0.00 g,4.7g
"Soup, prepared with equal volume water, canned, vegetarian vegetable",100 g,28,0.86 g,4.89 g,0.8g
"Pie crust, chilled, vanilla wafer, prepared from recipe, cookie-type",100 g,531,3.70 g,50.20 g,36g
"Beans, without salt, boiled, cooked, mature seeds, cranberry (roman)",100 g,136,9.34 g,24.46 g,0.5g
"Beans, without salt, boiled, cooked, mature seeds, all types, kidney",100 g,127,8.67 g,22.80 g,0.5g
"Fast foods, and condiments, cheese, egg, with breakfast steak, bagel",100 g,282,15.95 g,22.99 g,14g
"Rice and vermicelli mix, prepared with 80% margarine, chicken flavor",100 g,136,2.65 g,23.54 g,3.5g
"Snacks, no trans fat, regular flavor, microwave, oil-popped, popcorn",100 g,583,7.29 g,45.06 g,44g
"Snacks, gluten- free made with cornstarch and potato flour, Pretzels",100 g,389,3.52 g,78.62 g,6.7g
"English muffins, toasted (includes apple-cinnamon), raisin-cinnamon",100 g,276,8.87 g,55.04 g,2.2g
"Veal, braised, cooked, separable lean only, boneless, whole, breast",100 g,218,30.32 g,0.00 g,9.8g
"Turkey, bone removed, with skin, cooked, smoked, light or dark meat",100 g,208,28.10 g,0.00 g,9.7g
"Soup, single brand, condensed, canned, split pea with ham and bacon",100 g,140,8.60 g,21.20 g,2.3g
"Beef, pan-browned, cooked, crumbles, 95% lean meat / 5% fat, ground",100 g,193,29.17 g,0.00 g,7.6g
"Cereals, dry, Apple Cinnamon, Instant Oatmeal, KASHI HEART TO HEART",100 g,353,11.10 g,73.80 g,5g
"Pork, roasted, cooked, separable lean only, whole, leg (ham), fresh",100 g,211,29.41 g,0.00 g,9.4g
CAMPBELL'S Homestyle HEALTHY REQUEST Mexican Style Chicken Tortilla,100 g,53,2.86 g,7.76 g,1g
"Infant formula, ready-to-feed, with iron, SIMILAC, ABBOTT NUTRITION",100 g,65,1.36 g,6.92 g,3.6g
"SUBWAY, black forest ham sub on white bread with lettuce and tomato",100 g,151,9.12 g,22.91 g,2.5g
"PREGO Pasta, ready-to-serve, Organic Tomato and Basil Italian Sauce",100 g,72,1.60 g,10.40 g,2.4g
"P REGO Pasta, ready-to-serve, Roasted Garlic and Herb Italian Sauce",100 g,69,1.54 g,10.00 g,2.3g
"PREGO Pasta, ready-to-serve, Basil and Garlic Italian Sauce, Tomato",100 g,64,1.60 g,9.60 g,2g
"Ice creams, All Natural Light Vanilla Chocolate Strawberry, BREYERS",100 g,161,4.69 g,26.06 g,4.4g
"Peas, without salt, drained, boiled, cooked, sprouted, mature seeds",100 g,98,7.05 g,17.08 g,0.5g
"Snacks, unsalted, made with unenriched flour, plain, hard, pretzels",100 g,381,9.10 g,79.20 g,3.5g
"SUNSHINE, Extra Cheesy Party Mix, 100 Calorie RIGHT BITES, CHEEZ-IT",100 g,473,8.50 g,65.30 g,17g
"Milk, with added vitamin A and vitamin D, 1% milkfat, fluid, lowfat",100 g,42,3.37 g,4.99 g,1g
"Babyfood, instant fortified, dry, rice with pears and apple, cereal",100 g,389,6.60 g,88.50 g,0.9g
"Beef, pan-browned, cooked, crumbles, 97% lean meat / 3% fat, ground",100 g,175,29.46 g,0.00 g,5.5g
"Pork, unheated, separable lean and fat, blade roll, shoulder, cured",100 g,269,16.47 g,0.00 g,22g
"CAMPBELL'S Red and White - Microwaveable Bowls, Chicken Noodle Soup",100 g,30,1.63 g,4.08 g,0.8g
"Beef, raw, separable lean and fat, striploin, imported, New Zealand",100 g,252,18.49 g,0.60 g,20g
"Beef, raw, separable lean and fat, hind shin, imported, New Zealand",100 g,147,20.61 g,0.00 g,7.2g
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Multigrain Oats and Honey",100 g,362,7.80 g,85.00 g,1.8g
"Cereals ready-to-eat, KELLOGG'S CRUNCHY NUT Golden Honey Nut flakes",100 g,385,6.70 g,83.30 g,3.9g
"Soup, ready-to-serve, chunky, canned, manhattan style, clam chowder",100 g,56,3.02 g,7.84 g,1.4g
"Pork, raw, separable lean and fat, boneless, Shoulder petite tender",100 g,128,21.65 g,0.00 g,3.9g
"KEEBLER, Chocolate Graham Cookies, Mint Creme Middles, FUDGE SHOPPE",100 g,516,4.30 g,65.40 g,27g
"Soup, prepared with equal volume water, canned, split with ham, pea",100 g,75,4.08 g,11.05 g,1.7g
"Cereals ready-to-eat, 25% Reduced Sugar, COCOA PUFFS, GENERAL MILLS",100 g,380,6.50 g,82.69 g,5.2g
"Beef, raw, separable lean only, oyster blade, imported, New Zealand",100 g,155,21.83 g,0.00 g,7.6g
"KELLOGG'S, Strawberry Granola, NUTRI-GRAIN Frozen Fruit Pizza, EGGO",100 g,266,6.50 g,43.70 g,8.1g
"Restaurant, cheese and lettuce, soft taco with ground beef, Mexican",100 g,219,12.56 g,17.92 g,11g
"Pancakes, incomplete (includes buttermilk), dry mix, low fat, plain",100 g,384,7.40 g,74.69 g,6.2g
"Cereals, without salt, prepared with water, instant, CREAM OF WHEAT",100 g,62,1.84 g,13.08 g,0.2g
"Fast Food, regular crust, pepperoni topping, 14"" pizza, Pizza Chain",100 g,282,11.74 g,31.98 g,12g
"English muffins, with ca prop (includes sourdough), enriched, plain",100 g,227,8.87 g,44.17 g,1.7g
"CAMPBELL'S CHUNKY Soups, Savory Chicken with White & Wild Rice Soup",100 g,45,2.86 g,7.35 g,0.8g
"Veal, cooked, separable lean only, composite of trimmed retail cuts",100 g,196,31.90 g,0.00 g,6.6g
"DIGIORNO Pizza, baked, frozen, thin crispy crust, pepperoni topping",100 g,283,13.22 g,28.67 g,13g
"Salad dressing, without salt, regular, commercial, italian dressing",100 g,292,0.38 g,10.43 g,28g
"Soymilk (All flavors), vitamins A and D, with added calcium, lowfat",100 g,43,1.65 g,7.20 g,0.6g
"Cherries, solids and liquids, extra heavy syrup pack, canned, sweet",100 g,102,0.59 g,26.23 g,0.2g
"Biscuits, baked, lower fat, refrigerated dough, plain or buttermilk",100 g,319,7.80 g,51.60 g,9.1g
"Beverages, high vitamin C, greater than 3% juice, fruit juice drink",100 g,46,0.13 g,11.35 g,0.1g
"Margarine-like spread, SMART BEAT Super Light without saturated fat",100 g,158,0.00 g,0.00 g,17g
"Beverages, powder, low calorie, breakfast type, Orange-flavor drink",100 g,217,3.60 g,85.90 g,0g
"Milk, with added calcium, reduced fat, commercial, fluid, chocolate",100 g,78,2.99 g,12.13 g,1.9g
"Turkey, raw, with added solution, meat only, from whole bird, thigh",100 g,115,19.27 g,0.15 g,4.1g
"Snacks, made with enriched masa flour, nacho-flavor, tortilla chips",100 g,498,7.80 g,62.40 g,26g
"Doughnuts, unenriched (includes honey buns), glazed, yeast-leavened",100 g,403,6.40 g,44.30 g,23g
"Cereals, dry, Maple Brown Sugar Crunch, KELLOGG'S SPECIAL K NOURISH",100 g,371,15.39 g,62.09 g,9.9g
"Chicken, roasted, cooked, meat and skin, breast, broilers or fryers",100 g,197,29.80 g,0.00 g,7.8g
"Broadbeans (fava beans), without salt, boiled, cooked, mature seeds",100 g,110,7.60 g,19.65 g,0.4g
"Pork, roasted, cooked, separable lean only, tenderloin, loin, fresh",100 g,143,26.17 g,0.00 g,3.5g
"KFC, meat and skin with breading, Wing, EXTRA CRISPY, Fried Chicken",100 g,337,20.80 g,11.66 g,23g
"Lamb, raw, separable lean and fat, loin chop, imported, New Zealand",100 g,298,15.40 g,0.22 g,26g
"Chicken, roasted, cooked, meat only, light meat, broilers or fryers",100 g,173,30.91 g,0.00 g,4.5g
"Crackers, with peanut butter filling, sandwich, standard snack-type",100 g,494,11.47 g,58.38 g,25g
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,100 g,222,19.60 g,11.80 g,11g
"Beverages, sweetened, ginseng and honey, ready to drink, green, tea",100 g,30,0.00 g,7.16 g,0.2g
"CAMPBELL'S Red and White - Microwaveable Bowls, Vegetable Beef Soup",100 g,34,2.04 g,6.12 g,0.2g
"Luncheon meat, includes SPAM Lite, canned, minced, pork and chicken",100 g,196,15.23 g,1.35 g,14g
"Game meat, roasted, cooked, composite of cuts, domesticated, rabbit",100 g,197,29.06 g,0.00 g,8.1g
"MORNINGSTAR FARMS Sausage Style Recipe Crumbles, unprepared, frozen",100 g,159,20.20 g,9.90 g,4.6g
"KASHI Pizza, unprepared, frozen, single serve, Mushroom and Spinach",100 g,229,10.70 g,36.50 g,6g
"Pork, broiled, cooked, separable lean only, tenderloin, loin, fresh",100 g,187,30.42 g,0.00 g,6.3g
"Puddings, prepared with whole milk, regular, dry mix, coconut cream",100 g,114,3.00 g,17.70 g,3.8g
"Puddings, prepared with whole milk, instant, dry mix, coconut cream",100 g,117,2.90 g,19.10 g,3.5g
"Bread, made with low fat (2%) milk, prepared from recipe, cornbread",100 g,266,6.70 g,43.50 g,7.1g
"Peppers, without salt, drained, boiled, chopped, frozen, red, sweet",100 g,16,0.95 g,3.31 g,0.2g
"Soymilk, vitamins A and D, with added calcium, original and vanilla",100 g,43,2.60 g,4.92 g,1.5g
"Beverages, ready-to-drink, lemon-lime flavored, POWERADE, COCA-COLA",100 g,32,0.00 g,7.84 g,0.1g
"Nuts, packaged, flaked, sweetened, dried (desiccated), coconut meat",100 g,456,3.13 g,51.85 g,28g
"Winged beans, without salt, drained, boiled, cooked, immature seeds",100 g,38,5.31 g,3.21 g,0.7g
"Beef, pan-browned, cooked, crumbles, 93% lean meat / 7% fat, ground",100 g,209,28.88 g,0.00 g,9.5g
"Grapefruit juice, undiluted, unsweetened, frozen concentrate, white",100 g,146,1.97 g,34.56 g,0.5g
"Seeds, with salt added (decorticated), toasted, sesame seed kernels",100 g,567,16.96 g,26.04 g,48g
"GEORGE WESTON BAKERIES, dry, Brownberry Sage and Onion Stuffing Mix",100 g,390,13.30 g,72.70 g,5.1g
"Infant formula, ready-to-feed, NUTRAMIGEN AA, ENFAMIL, MEAD JOHNSON",100 g,66,1.84 g,6.76 g,3.5g
"Beef, raw, separable lean and fat, eye round, imported, New Zealand",100 g,129,19.88 g,1.32 g,4.9g
"Beef, raw, separable lean and fat, cube roll, imported, New Zealand",100 g,225,18.22 g,1.31 g,16g
"Cake, enriched, other than all butter, commercially prepared, pound",100 g,389,5.20 g,52.50 g,18g
"Pork, braised, cooked, tongue, variety meats and by-products, fresh",100 g,271,24.10 g,0.00 g,19g
"Babyfood, junior, without ascorbic acid, prunes with tapioca, fruit",100 g,70,0.60 g,18.70 g,0.1g
"Veal, grilled, cooked, separable lean and fat, blade chop, shoulder",100 g,199,25.72 g,0.15 g,11g
"Veal, braised, cooked, separable lean and fat, osso buco, foreshank",100 g,182,27.94 g,0.11 g,7.8g
"Breakfast bars, coconut (include granola bar), raisins, sugar, oats",100 g,464,9.80 g,66.70 g,18g
"CAMPBELL'S Red and White, condensed, Old Fashioned Tomato Rice Soup",100 g,87,0.79 g,18.25 g,1.6g
"Cereals ready-to-eat, MOTHER'S PEANUT BUTTER BUMPERS Cereal, QUAKER",100 g,407,7.62 g,79.68 g,7.3g
"Veal, raw, separable lean and fat, composite of trimmed retail cuts",100 g,144,19.35 g,0.00 g,6.8g
"KEEBLER, Original, Magic Middles Fudge Filled Cookies, FUDGE SHOPPE",100 g,521,5.00 g,62.50 g,28g
"Cream substitute, with lauric acid oil and sodium caseinate, liquid",100 g,136,1.00 g,11.38 g,10g
"Cheese food, without added vitamin D, American, pasteurized process",100 g,330,16.86 g,8.56 g,26g
"Veal, raw, separable lean and fat, bone-in, fore, shank, Australian",100 g,145,19.58 g,0.00 g,7.4g
"Soymilk (all flavors), vitamins A and D, with added calcium, nonfat",100 g,28,2.47 g,4.14 g,0g
"DIGIORNO Pizza, baked, frozen, cheese stuffed crust, cheese topping",100 g,279,13.48 g,29.86 g,12g
"KELLOGG'S, Yum-azing Vanilla Milkshake Toaster Pastries, POP-TARTS",100 g,398,4.10 g,70.20 g,11g
"Corn, rinsed with tap water, drained solids, canned, yellow, sweet",100 g,74,2.18 g,13.02 g,1.4g
"Cowpeas, with salt, drained, boiled, cooked, young pods with seeds",100 g,34,2.60 g,7.00 g,0.3g
"Fish, without skin and bones, drained solids, canned, pink, Salmon",100 g,136,24.62 g,0.00 g,4.2g
"Turkey, raw, with added solution, meat only, from whole bird, back",100 g,115,19.27 g,0.15 g,4.1g
"Pork, roasted, cooked, separable lean only, whole, shoulder, fresh",100 g,230,25.33 g,0.00 g,14g
"Beans, without salt, drained, boiled, cooked, frozen, yellow, snap",100 g,28,1.49 g,6.45 g,0.2g
"Noodles, dehydrated, cellophane or long rice (mung beans), chinese",100 g,351,0.16 g,86.09 g,0.1g
"Beverages, fortified, prepared with 1% milk, chocolate malt powder",100 g,57,3.32 g,8.81 g,1g
"Wheat flour, enriched, bleached, 11.5% protein, white (industrial)",100 g,363,11.50 g,73.81 g,1.5g
"Wheat flour, enriched, unbleached, 10% protein, white (industrial)",100 g,366,9.71 g,76.22 g,1.5g
"Whale, skin and subcutaneous fat (muktuk) (Alaska Native), bowhead",100 g,465,12.60 g,0.00 g,46g
"Cereals ready-to-eat, Crunchy Almond, OATMEAL CRISP, GENERAL MILLS",100 g,390,9.89 g,78.09 g,6.7g
"Potatoes, without salt, flesh and skin, cooked in skin, microwaved",100 g,105,2.44 g,24.24 g,0.1g
"Chicken, roasted, cooked, meat and skin, thigh, broilers or fryers",100 g,232,23.26 g,0.00 g,15g
"Pigeon peas (red gram), without salt, boiled, cooked, mature seeds",100 g,121,6.76 g,23.25 g,0.4g
"Refried beans, traditional style (includes USDA commodity), canned",100 g,90,4.98 g,13.55 g,2g
"Pork, braised, cooked, brain, variety meats and by-products, fresh",100 g,138,12.14 g,0.00 g,9.5g
"Cookies, chocolate-coated (includes marshmallow pies), marshmallow",100 g,421,4.00 g,67.70 g,17g
"Poultry, raw, from backs and necks with skin, mechanically deboned",100 g,272,11.39 g,0.00 g,25g
"Pork, simmered, cooked, tail, variety meats and by-products, fresh",100 g,396,17.00 g,0.00 g,36g
"Pork, simmered, cooked, feet, variety meats and by-products, fresh",100 g,238,21.94 g,0.00 g,16g
"Pork, roasted, separable lean and fat, blade roll, shoulder, cured",100 g,287,17.28 g,0.37 g,23g
"Soup, commercial, prepared with equal volume water, canned, tomato",100 g,32,0.71 g,7.45 g,0.2g
"Beef, raw, separable lean only, rump centre, imported, New Zealand",100 g,141,21.74 g,0.00 g,6.1g
"Cookies, lower fat, regular, commercially prepared, chocolate chip",100 g,451,5.97 g,67.49 g,18g
"Nuts, without salt added, without peanuts, oil roasted, mixed nuts",100 g,615,15.52 g,22.27 g,56g
"KRAFT FOODS, dry, Coating for Pork, SHAKE 'N' BAKE ORIGINAL RECIPE",100 g,377,6.10 g,79.80 g,3.7g
"Pork, raw, separable lean and fat, boneless, Leg sirloin tip roast",100 g,113,22.88 g,0.00 g,1.7g
"KEEBLER, Original Graham Cookies, Cheesecake Middles, FUDGE SHOPPE",100 g,507,4.20 g,65.50 g,26g
"MORNINGSTAR FARMS Chipotle Black Bean Crumbles, unprepared, frozen",100 g,122,14.40 g,10.20 g,4.1g
"Pork, braised, cooked, liver, variety meats and by-products, fresh",100 g,165,26.02 g,3.76 g,4.4g
"Pork, braised, cooked, lungs, variety meats and by-products, fresh",100 g,99,16.60 g,0.00 g,3.1g
"CAMPBELL'S CHUNKY Soups, Beef Rib Roast with Potatoes & Herbs Soup",100 g,44,2.86 g,6.94 g,0.4g
"Turkey roast, raw, light and dark meat, seasoned, frozen, boneless",100 g,120,17.60 g,6.40 g,2.2g
"Veal, raw, separable lean and fat, whole (arm and blade), shoulder",100 g,130,19.27 g,0.00 g,5.3g
"Infant formula, powder, with iron, GOOD START 2 ESSENTIALS, NESTLE",100 g,471,12.20 g,62.23 g,19g
"Hyacinth-beans, with salt, drained, boiled, cooked, immature seeds",100 g,50,2.95 g,9.20 g,0.3g
"Mustard spinach, with salt, drained, boiled, cooked, (tendergreen)",100 g,16,1.70 g,2.80 g,0.2g
"Leavening agents, straight phosphate, double-acting, baking powder",100 g,51,0.10 g,24.10 g,0g
"Beef, raw, separable lean only, bolar blade, imported, New Zealand",100 g,129,22.09 g,0.00 g,4.5g
"Salad dressing, without salt, regular, commercial, french dressing",100 g,459,0.77 g,15.58 g,45g
"Syrups, HERSHEY'S Genuine Chocolate Flavored Lite Syrup, chocolate",100 g,153,1.40 g,34.56 g,1g
"Snacks, CHEWY TRAIL MIX, NATURE VALLEY, GENERAL MILLS, granola bar",100 g,415,5.71 g,72.27 g,11g
"KELLOGG'S, Cinnamon Brown Sugar Baked Bites, POP-TARTS MINI CRISPS",100 g,433,4.80 g,79.00 g,11g
"Lamb, raw, separable lean only, loin saddle, imported, New Zealand",100 g,131,20.86 g,0.00 g,5.3g
"Toaster Pastries, Frosted wild berry, KELLOGG'S POP TARTS, KELLOGG",100 g,390,4.00 g,72.40 g,9.5g
"Cereals, without salt, prepared with water, chocolate, MALT-O-MEAL",100 g,47,1.37 g,9.22 g,0.1g
"Turkey, raw, with added solution, meat only, from whole bird, wing",100 g,102,21.54 g,0.14 g,1.7g
"KELLOGG'S, Chocolate Chip Cookie Dough Toaster Pastries, POP-TARTS",100 g,387,4.50 g,69.40 g,11g
"Chicken, stewed, cooked, meat and skin, breast, broilers or fryers",100 g,184,27.39 g,0.00 g,7.4g
"Tomatoes, no salt added, packed in tomato juice, canned, ripe, red",100 g,16,0.79 g,3.47 g,0.3g
"Salad dressing, soybean without cholesterol, imitation, mayonnaise",100 g,482,0.10 g,15.80 g,48g
"Chicken, stewed, cooked, meat only, light meat, broilers or fryers",100 g,159,28.88 g,0.00 g,4g
"Chicken, roasted, cooked, meat only, dark meat, broilers or fryers",100 g,205,27.37 g,0.00 g,9.7g
"Fish, drained solids with bone, without salt, canned, chum, salmon",100 g,141,21.43 g,0.00 g,5.5g
"Beverages, powder, orange flavor, GATORADE, QUAKER OATS, drink mix",100 g,388,0.00 g,94.11 g,1.2g
